eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
197002230003,1970,2,23,,0,,217,United States,1,North America,Nebraska,South Sioux City,42.47031,-96.413949,1,0,Sioux City/Dakota City area,"2/23/1970: In a series of related attacks, unknown perpetrators bombed four separate power transmission poles in the Dakota City and Sioux City areas in Nebraska, United States.  There were no casualties and none of the dynamite blasts broke off any of the poles.   These attacks were one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,21,Utilities,107,Electricity,,Power Transmission Pole in the Dakota City/Sioux City area,217,United States,,,,,,,,,,,,,,,,,Strikers,,,,,,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite,0,0,0,0,0,0,0,,,,None of the poles broke off,0,,,,,,,0,,,,,,,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",,,Hewitt Project,-9,-9,0,-9,"197002230001, 197002230002, 197002230003, 197002230004"
197002230004,1970,2,23,,0,,217,United States,1,North America,Nebraska,South Sioux City,42.47031,-96.413949,1,0,Sioux City/Dakota City area,"2/23/1970: In a series of related attacks, unknown perpetrators bombed four separate power transmission poles in the Dakota City and Sioux City areas in Nebraska, United States.  There were no casualties and none of the dynamite blasts broke off any of the poles.   These attacks were one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,21,Utilities,107,Electricity,,Power Transmission Pole in the Dakota City/Sioux City area,217,United States,,,,,,,,,,,,,,,,,Strikers,,,,,,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite,0,0,0,0,0,0,0,,,,None of the poles broke off,0,,,,,,,0,,,,,,,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",,,Hewitt Project,-9,-9,0,-9,"197002230001, 197002230002, 197002230003, 197002230004"
197002230005,1970,2,23,,0,,217,United States,1,North America,Arizona,Tucson,32.222232,-110.925752,1,0,Sidewalk in front of building,"2/23/1970: Unknown perpetrators detonated a dynamite bomb in front of the Selective Service Headquarters in Tucson, Arizona, United States. There were no casualties, however, all of the windows of the building shattered.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Selective Service,"Selective Service Headquarters, Tucson Arizona.",217,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,Protest the draft.,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,All of the windows of the buildings were broken,0,,,,,,,0,,,,,,,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Steven V. Roberts, ""Bombings on Rise Over the Nation,"" New York Times, March 13, 1970.",,Hewitt Project,-9,-9,0,-9,
197002240002,1970,2,24,,0,,217,United States,1,North America,Colorado,Denver,39.758968,-104.876305,1,0,Porch in front of house,"2/24/1970: Unknown perpetrators detonated a pipe bomb in front of the house of Wilfred Keyes in Denver, Colorado, United States.  There were no casualties, however, the front porch was destroyed and many windows were shattered.  Keyes was the lead plaintiff in a court case calling for the desegregation of Denver City Schools.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,68,Named Civilian,,Wilfred Keyes,217,United States,,,,,,,,,,,,,,,,,White extremists,,,,,,Protest the desegregation of Denver City Schools.,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite Pipe Bomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Front porch was destroyed and windows in the house were shattered,0,,,,,,,0,,,,,,,,,This is one of many attacks in Denver resulting from school integration.  Other incidents include 197002060001 and 197002210006.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Anna Alejo, ""Alejo: Keys to Success,"" Rocky Mountain News, January 28, 2006.","James Brooke, ""Court Says Denver Can End Forced Busing,"" New York Times, September 17, 1995.",Hewitt Project,-9,-9,0,-9,
197002240003,1970,2,24,,0,,217,United States,1,North America,Illinois,Champaign,40.101952,-88.227161,1,0,,"2/24/1970: Unknown perpetrators threw a Molotov cocktail into the Armory at the University of Illinois, Champaign-Urbana, United States.  There were no casualties but the firebomb caused $2,000 in damages.  The offices of the R.O.T.C. were located in the Armory",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,4,Military,28,Military Recruiting Station/Academy,R.O.T.C.,"R.O.T.C., University of Illinois",217,United States,,,,,,,,,,,,,,,,,Student Radicals,,,,,,Protest secret government research at the University of Illinois and the R.O.T.C. program.,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktail thrown through the window of the Armory,0,0,0,0,0,0,1,3,Minor (likely < $1 million),2000,,0,,,,,,,0,,,,,,,,,The attack occurred a day after the Illiac project was approved by the University. Of Illinois  The project brought a high powered computer to campus that would be used mostly for government research.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Patrick D. Kennedy, ""Reactions Against the Vietnam War and Military-Related Targets on Campus: The University of Illinois as a Case Study, 1965-1972,"" Illinois Historical Journal, 1991.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",Hewitt Project,-9,-9,0,-9,
197002270001,1970,2,27,,0,,217,United States,1,North America,Colorado,Boulder,40.007581,-105.265942,1,0,University of Colorado,"2/27/1970: Unknown perpetrators detonated a bomb in the Behavioral Sciences Building at the University of Colorado at Boulder in Colorado, United States.  There were no casualties but the building was damaged.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,8,Educational Institution,49,School/University/Educational Building,University of Colorado,Institute of Behavioral Sciences,217,United States,,,,,,,,,,,,,,,,,Student Radicals,,,,,,Protesting scholarship money that was set aside for minorities but had yet to be awarded,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive device,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,0,,,,,,,,,This attack occurred the week before first lady Pat Nixon planned on visiting the University of Colorado.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Marie Smith, ""Heavy Security Highlights Pat's Colorado Visit,"" Washington Post, March 5, 1970.","Anthony Ripley, ""Colorado Weighs Blast Controls,"" New York Times, March 9, 1970.",Hewitt Project,-9,-9,0,-9,
197002280001,1970,2,28,,0,,102,Jordan,10,Middle East & North Africa,Khalil,Hebron,31.530243,35.094162,1,0,,,1,1,1,-9,,,0,1,0,2,Armed Assault,,,,,18,Tourists,96,Tour Bus/Van,,Tourist Bus,102,Jordan,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic firearm,,,,,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
197003000001,1970,3,0,,0,,160,Philippines,5,Southeast Asia,Metropolitian Manila,Manila,14.596051,120.978666,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46,Embassy/Consulate,,U.S. Embassy,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),500,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
197003010001,1970,3,1,,0,,98,Italy,8,Western Europe,Lazio,Rome,41.890961,12.490069,1,0,,,1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,6,Airports & Aircraft,42,Aircraft (not at an airport),,Ethopian Airliner,65,Ethiopia,,,,,,,,,,,,,,,,,Eritrean Liberation Front,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,0,1,1,
197003010005,1970,3,1,,0,,217,United States,1,North America,Colorado,Boulder,40.007581,-105.265942,1,0,,"3/1/1970: Unknown perpetrators bombed the office of the Air Force R.O.T.C. at the University of Colorado in Boulder, Colorado, United States.  There were no casualties but the R.O.T.C. training facility sustained an estimated $2,000 in damages.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,4,Military,28,Military Recruiting Station/Academy,R.O.T.C.,Air Force R.O.T.C. at University of Colorado,217,United States,,,,,,,,,,,,,,,,,Student Radicals,,,,,,Protest the Vietnam War and the R.O.T.C.,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Explosive device made with 5-gallon can of gasoline,0,0,0,0,0,0,1,3,Minor (likely < $1 million),2000,Door destroyed and walls damaged,0,,,,,,,0,,,,,,,,,"The perpetrators painted signs on nearby the building saying ""Imperialism Burns"" and ""Vietnam Napalm R.O.T.C.."" This attack occurred the week before first lady Pat Nixon planned on visiting the University of Colorado.  The incident also occurred on the same day as 197003010006 and 197003010007.  No records of the R.O.T.C. were destroyed in the attack.  This incident might also be related to the minority fees issue like 197002270001.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Colorado R.O.T.C. Blast Attributed to Arsonists,"" Washington Post, March 3, 1970.","Robert W. Patterson, ""Crime & the American Response,"" Facts on File, 1973",Hewitt Project,-9,-9,0,-9,
197003010006,1970,3,1,,0,,217,United States,1,North America,Colorado,Colorado Springs,38.864281,-104.778412,1,0,,"3/1/1970: Unknown perpetrators firebombed the headquarters of the Selective Service in Colorado Springs, Colorado, United States.  There were no casualties but the building sustained moderate damages.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Selective Service,"Selective Service Headquarters, Colorado Springs",217,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,Protest the War in Vietnam and sabotage the draft,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Moderate damage to building,0,,,,,,,0,,,,,,,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Colorado R.O.T.C. Blast Attributed to Arsonists,"" Washington Post, March 3, 1970.","Steven V. Roberts, ""Bombings on Rise Over the Nation,"" New York Times, March 13, 1970.",Hewitt Project,-9,-9,0,-9,
197003010007,1970,3,1,,0,,217,United States,1,North America,Colorado,Boulder,40.007581,-105.265942,1,0,University of Colorado,"3/1/1970: In a series of two incidents that were possibly related, unknown perpetrators firebombed a University of Colorado campus police vehicle in Boulder, Colorado, United States.  There were no casualties but the car was damaged.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,3,Police,23,Police Patrol (including vehicles and convoys),University of Colorado Police,Police Car,217,United States,,,,,,,,,,,,,,,,,Student Radicals,,,,,,,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,0,,,,,,,,,This incident might be part of a multiple attack with 197003010008. This attack occurred the week before first lady Pat Nixon planned on visiting the University of Colorado.  This attack occurred the same day as 197003010005.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Anthony Ripley, ""Colorado Weighs Blast Controls,"" New York Times, March 9, 1970.","Nan Robertson, ""The First Lady Visits Projects in Restive Boulder,"" New York Times, March 5, 1970.",Hewitt Project,-9,-9,0,-9,
197003010008,1970,3,1,,0,,217,United States,1,North America,Colorado,Boulder,40.014986,-105.270546,1,0,,"3/2/1970: In a series of two incidents that were possibly related, unknown perpetrators bombed a city police car in Boulder, Colorado, United States.  There were no casualties but the car was damaged.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,3,Police,23,Police Patrol (including vehicles and convoys),Boulder Police Department,Police Car,217,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,0,,,,,,,,,This incident might be part of a multiple attack with 197003010007.  This attack occurred the week before first lady Pat Nixon planned on visiting the University of Colorado.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Anthony Ripley, ""Colorado Weighs Blast Controls,"" New York Times, March 9, 1970.","Nan Robertson, ""The First Lady Visits Projects in Restive Boulder,"" New York Times, March 5, 1970.",Hewitt Project,-9,-9,0,-9,
197003020001,1970,3,2,,0,,217,United States,1,North America,Ohio,Cleveland,41.479561,-81.675461,1,0,West side of Cleveland,"3/2/1970: Unknown perpetrators threw a Molotov cocktail into the house of Frank Schaeffer, the president of the Cleveland Fraternal Order of Police, in Cleveland, Ohio, United States.  There were no casualties but the fire caused an estimated $200 in damages.  Schaeffer had recently defended the actions of Cleveland Police Officers during the 1968 racial disorders.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,14,Private Citizens & Property,68,Named Civilian,,Frank Schaeffer,217,United States,3,Police,25,Police Security Forces/Officers,Fraternal Order of Police,"Fraternal Order of Police, Cleveland Ohio",217,United States,,,,,,,,,Black Nationalists,,,,,,To protest Frank Schaeffer's defense of the Cleveland Police Deparment during the 1968 Glenville racial riots,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Molotov cocktail,0,0,0,0,0,0,1,3,Minor (likely < $1 million),200,Carpeting and two chairs were damaged,0,,,,,,,0,,,,,,,,,,"""Home of Police Officer Bombed,"" Toledo Blade, March 2, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",,Hewitt Project,-9,-9,0,-9,
197003030001,1970,3,3,,0,,185,Spain,8,Western Europe,Unknown,Unknown,,,5,0,,,1,1,1,0,,,0,0,0,6,Hostage Taking (Kidnapping),,,,,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Spanish Govt.,"Garrigues, permanent spanish delegaet to Unesco",185,Spain,,,,,,,,,,,,,,,,,1st of May Group,,,,,,,0,,,0,3,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0,,,0,,,0,,,,,1,1,0,,,,Spain,1,0,,,,,,,,,,,,PGIS,0,1,0,1,
197003030002,1970,3,3,,0,,217,United States,1,North America,Colorado,Denver,39.758968,-104.876305,1,0,328 East 23rd Street,"3/3/1970: Unknown perpetrators bombed a foreign-made car painted red in Denver, Colorado, United States.  There were no casualties but the car was damaged.",1,1,1,1,2,Other Crime Type,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,73,Vehicles/Transportation,Foreign Vehicles,Foreign cars painted red,,,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Lead pipe-bomb filled with dynamite,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,0,,,,,,,,,This attack was linked with incidents 197003040003 and 197003050002.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Anthony Ripley, ""Colorado Weighs Blast Controls,"" New York Times, March 9, 1970.",,Hewitt Project,-9,-9,-9,-9,
197003030003,1970,3,3,,0,,217,United States,1,North America,Washington,Seattle,47.610786,-122.331306,1,0,University District,"3/3/1970: Four left wing radicals set off a dynamite bomb at a post office in Seattle, Washington, United States.  There were no casualties but the building and a vehicle were damaged.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),21,Government Building/Facility/Office,Post Office,Post Office in Seattle's University District,217,United States,,,,,,,,,,,,,,,,,Student Radicals,,,,,,,0,,,0,4,4,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite bomb,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Building and vehicle damaged,0,,,,,,,0,,,,,,,,,"Two of the perpetrators were members of Students for a Democratic Society and the other two perpetrators were known sympathizers of the organization.  There is a source claiming that one of the perpetrators of the attack, Jeff Desmond, was actually working for the Federal Bureau of Investigation (See: Dave Dellinger, ""More Power Than We Know: The People's Movement Toward Democracy"").","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Earl Caldwell, ""Fear Grows In Seattle As Police Urge F.B.I. Help On Bombings,"" New York Times, April 26, 1970.","Dave Dellinger, ""More Power Than We Know: The People's Movement Toward Democracy,"" Anchor Press/Doubleday, 1975.",Hewitt Project,-9,-9,0,-9,
197003040001,1970,3,4,,0,,217,United States,1,North America,California,Oakland,37.791927,-122.225906,1,0,Third floor window ledge,"3/4/1970: Unknown perpetrators placed a time bomb in a Barracks at the Oakland Army Base in California, United States.  The bomb was subsequently discovered and disarmed. The base was used as a departing point for United States troops heading to Vietnam.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,US Military,Oakland Army Base,217,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,Sabotage the US Army war efforts and protest the Vietnam War,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Two and one half pound block of C-4 wired to a commercial blasting cap and timing device,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,"When the bomb was discovered the barracks were evacuated.  This incident might be related with 197003040002.  They both occurred on the same day in a distance of around thirty miles from each other.  However, different types of explosive devices were used.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Army Disarms Time Bomb at Base in Oakland,"" Washington Post, March 5, 1970.","""Bomb Found and Disarmed At Oakland Army Base,"" New York Times, March 5, 1970.",Hewitt Project,-9,-9,0,-9,
197003040002,1970,3,4,,0,,217,United States,1,North America,California,Martinez,38.019304,-122.134062,1,0,Railroad car,"3/4/1970: Unknown perpetrators placed a bomb on a railroad car in Martinez, California, United States.  The bomb was subsequently discovered and disarmed.  The railroad car was used to transport acid.",1,1,1,1,2,Other Crime Type,0,0,0,3,Bombing/Explosion,,,,,19,Transportation,100,Train/Train Tracks/Trolley,Railroad car,,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Four sticks of dynamite triggered by a mousetrap,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",,,Hewitt Project,-9,-9,0,-9,
197003040003,1970,3,4,,0,,217,United States,1,North America,Colorado,Denver,39.758968,-104.876305,1,0,1155 Sherman Street,"3/4/1970: Unknown perpetrators bombed a foreign-made car painted red in Denver, Colorado, United States.  There were no casualties but the car was damaged.",1,1,1,1,2,Other Crime Type,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,73,Vehicles/Transportation,Foreign Vehicles,Foreign cars painted red,,,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Lead pipe-bomb filled with dynamite,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,0,,,,,,,,,This attack was linked with incidents 197003030002 and 197003050002.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Anthony Ripley, ""Colorado Weighs Blast Controls,"" New York Times, March 9, 1970.",,Hewitt Project,-9,-9,-9,-9,
197003050001,1970,3,5,,0,,217,United States,1,North America,Washington,Seattle,47.610786,-122.331306,1,0,1300 Pennsylvania Street,"3/5/1970: Unknown perpetrators detonated a bomb at the University District Post Office in Seattle, Washington, United States.  There were no casualties, however, the side of the building was damaged.",1,1,1,1,2,Other Crime Type,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),21,Government Building/Facility/Office,Post Office,University District Post Office,217,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Two sticks of dynamite,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Side of building damaged,0,,,,,,,0,,,,,,,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",,,Hewitt Project,-9,-9,0,-9,
197003050002,1970,3,5,,0,,217,United States,1,North America,Colorado,Denver,39.758968,-104.876305,1,0,1300 Pennsylvania Street,"3/5/1970: Unknown perpetrators bombed a foreign-made car painted red in Denver, Colorado, United States.  There were no casualties but the car was heavily damaged.",1,1,1,1,2,Other Crime Type,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,73,Vehicles/Transportation,Foreign Vehicles,Foreign cars painted red,,,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Lead pipe-bomb filled with dynamite,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Vehicle heavily damaged,0,,,,,,,0,,,,,,,,,This attack was linked with incidents 197003030002 and 197003040003.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Anthony Ripley, ""Colorado Weighs Blast Controls,"" New York Times, March 9, 1970.",,Hewitt Project,-9,-9,-9,-9,
197003050003,1970,3,5,,0,,217,United States,1,North America,Puerto Rico,San Juan,18.386932,-66.061127,1,0,,"3/5/1970: Unknown Puerto Rican Nationalists assassinated two United States Navy personal stationed in San Juan, Puerto Rico.  The incident was in response to the death of Antonia Martinez Lagaras, who was shot and killed during a confrontation between students and police in front of the R.O.T.C. building at the University of Puerto Rico, Rio Piedras a day earlier.",1,1,1,0,,,0,1,0,1,Assassination,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",US Navy,Two members of the United States Navy,217,United States,,,,,,,,,,,,,,,,,Armed Commandos of Liberation,,Armed Revolutionary Independence Movement (MIRA),,,,To protest United States presence in Puerto Rico and revenge the death of Antonia Martinez Lagares,1,1,,0,-99,-99,0,,,0,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,2,2,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,Conflicting reports attribute the incident to the Armed Commandos of Liberation and the Armed Revolutionary Independence Movement (MIRA).,"Committee on the Judiciary  United States Senate, ""Terroristic Activity: The Cuban Connection in Puerto Rico; Castro's Hand in Puerto Rican and U.S. Terrorism,"" U.S. Government Printing Office, August 6, 1970.","William Sater, ""Puerto Rican Terrorists: A Possible Threat to U.S. Energy Installations?,"" RAND, October 1981.","""Toward People's War for Independence and Socialism in Puerto Rico: In Defense of Armed Struggle,"" Documents and Communiqu�s from the Revolutionary Public Independence Movement and the Armed Clandestine Movement, January 1987.",Hewitt Project,0,1,0,1,
197003060001,1970,3,6,,1,3/8/1970,83,Guatemala,2,Central America & Caribbean,Guatemala,Guatemala City,14.622869,-90.529068,1,0,,,1,1,1,0,,,0,1,0,6,Hostage Taking (Kidnapping),,,,,7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",State Dept,"Sean Holley, U.S. labor attache, U.S. embassy",217,United States,,,,,,,,,,,,,,,,,Rebel Armed Forces of Guatemala (FAR),,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Submachine guns,0,,,0,,,0,,,,,1,1,1,0,2,,Guatemala,1,0,,,,,2,Hostage(s) released by perpetrators,1,,,,,PGIS,0,1,1,1,
197003060003,1970,3,6,,0,,217,United States,1,North America,Michigan,Detroit,42.331685,-83.047924,1,0,Women's Toilet,"3/6/1970: In a series of related unsuccessful attacks, suspected members of the Weathermen placed thirty-four sticks of dynamite at the Detroit Police Department building in Michigan, United States.  The bombs were subsequently discovered and  disarmed.",1,1,1,0,,,1,0,0,3,Bombing/Explosion,,,,,3,Police,22,"Police Building (headquarters, station, school)",Detroit Police Department,Detroit Police Department Building,217,United States,,,,,,,,,,,,,,,,,"Weather Underground, Weathermen",,,,,,To kill police,1,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,Dynamite,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","W. Mark Felt, ""The FBBI Pyramid From the Inside,"" G. P. Putnam's Sons, 1979.","John Castellucci, ""The Big Dance,"" Dodd, Mead & Company, 1986.",Hewitt Project,0,0,0,0,"197003060003, 197003060004"
